clustering_id,method,unit_ids,cluster_ids,annotation,tag,tag_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c2,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c7,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c11,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c13,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c14,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c15,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c17,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c18,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c25,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c26,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c30,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c31,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c33,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c36,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c45,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c46,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c47,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c53,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c56,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c59,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c60,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c65,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c67,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c69,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c74,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c82,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c83,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c85,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c86,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c88,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c92,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c93,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c95,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c96,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c98,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c99,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c100,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c103,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c110,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c111,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c114,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c119,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c122,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c127,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c128,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c133,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c138,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c139,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c148,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c149,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c153,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c156,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c158,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c161,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c162,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c163,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c167,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c169,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c173,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c178,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c183,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c184,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c194,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c195,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c196,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c200,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c201,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c205,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c212,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c213,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c216,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c219,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c225,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c226,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c234,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c248,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c252,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c256,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c257,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c259,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c260,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c261,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c262,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c263,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c264,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c269,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c270,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c274,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c276,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c277,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c279,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c281,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c284,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c287,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c289,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c290,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c295,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c305,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c317,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c318,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c319,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c322,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c323,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c333,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c337,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c346,3,,T_Epi,T_Epi_2
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c348,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c350,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c351,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c358,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c371,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c373,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c374,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c375,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c377,2,CD8T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c382,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c383,0,Macrophage,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c391,1,Muscle-like,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c397,4,T,,
b8494eb5-b61b-423d-beaf-c1d5790b309f,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c400,1,Muscle-like,,
